preset_name,reg_idx,reg_name,hex_value
Studio C,14,mRSAME,0x0b58
Studio C,15,mLCOMB1,0x0d09
Studio C,16,mRCOMB1,0x0a3c
Studio C,17,mLCOMB2,0x0bd9
Studio C,18,mRCOMB2,0x0973
Studio C,19,dLSAME,0x0b59
Studio C,20,dRSAME,0x08da
Studio C,21,mLDIFF,0x08d9
Studio C,22,mRDIFF,0x05e9
Studio C,23,mLCOMB3,0x07ec
Studio C,24,mRCOMB3,0x04b0
Studio C,25,mLCOMB4,0x06ef
Studio C,26,mRCOMB4,0x03d2
Studio C,27,dLDIFF,0x05ea
Studio C,28,dRDIFF,0x031d
Studio C,29,mLAPF1,0x031c
Studio C,30,mRAPF1,0x0238
Studio C,31,mLAPF2,0x0154
Studio C,32,mRAPF2,0x00aa
Studio C,33,vLIN,0x8000
Studio C,34,vRIN,0x8000
Hall,0,vLOUT,0x0000
Hall,1,vROUT,0x0000
Hall,2,mBASE,0x0000
Hall,3,dAPF1,0x01a5
Hall,4,dAPF2,0x0139
Hall,5,vIIR,0x6000
Hall,6,vCOMB1,0x5000
Hall,7,vCOMB2,0x4c00
Hall,8,vCOMB3,0xb800
Hall,9,vCOMB4,0xbc00
Hall,10,vWALL,0xc000
Hall,11,vAPF1,0x6000
Hall,12,vAPF2,0x5c00
Hall,13,mLSAME,0x15ba
Hall,14,mRSAME,0x11bb
Hall,15,mLCOMB1,0x14c2
Hall,16,mRCOMB1,0x10bd
Hall,17,mLCOMB2,0x11bc
Hall,18,mRCOMB2,0x0dc1
Hall,19,dLSAME,0x11c0
Hall,20,dRSAME,0x0dc3
Hall,21,mLDIFF,0x0dc0
Hall,22,mRDIFF,0x09c1
Hall,23,mLCOMB3,0x0bc4
Hall,24,mRCOMB3,0x07c1
Hall,25,mLCOMB4,0x0a00
Hall,26,mRCOMB4,0x06cd
Hall,27,dLDIFF,0x09c2
Hall,28,dRDIFF,0x05c1
Hall,29,mLAPF1,0x05c0
Hall,30,mRAPF1,0x041a
Hall,31,mLAPF2,0x0274
Hall,32,mRAPF2,0x013a
Hall,33,vLIN,0x8000
Hall,34,vRIN,0x8000
Half Echo,0,vLOUT,0x0000
Half Echo,1,vROUT,0x0000
Half Echo,2,mBASE,0x0000
Half Echo,3,dAPF1,0x0017
Half Echo,4,dAPF2,0x0013
Half Echo,5,vIIR,0x70f0
Half Echo,6,vCOMB1,0x4fa8
Half Echo,7,vCOMB2,0xbce0
Half Echo,8,vCOMB3,0x4510
Half Echo,9,vCOMB4,0xbef0
Half Echo,10,vWALL,0x8500
Half Echo,11,vAPF1,0x5f80
Half Echo,12,vAPF2,0x54c0
Half Echo,13,mLSAME,0x0371
Half Echo,14,mRSAME,0x02af
Half Echo,15,mLCOMB1,0x02e5
Half Echo,16,mRCOMB1,0x01df
